date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:46:18	1530786/1530786	---MCZ	200	added ('OK')	text/html	etag:W/%22d901c970ff9c557667110015adc5e439%22	https://www.wix.com/demone2/tech-company-volaso	C:/My%20Web%20Sites/volas/www.wix.com/demone2/tech-company-volaso.html	(from )
20:46:19	672/672	---MCZ	200	added ('OK')	text/plain	etag:W/%2283f-wA0Zzf+1O+wBRJXxeGemj+7sv64%22	https://www.wix.com/robots.txt		(from )
20:46:19	559/559	---M-Z	200	added ('OK')	application/javascript	etag:W/%229d1a493b511891ff2beb1359384eb679%22	https://static.parastorage.com/services/wix-thunderbolt/dist/originTrials.41d7301a.bundle.min.js	C:/My%20Web%20Sites/volas/static.parastorage.com/services/wix-thunderbolt/dist/originTrials.41d7301a.bundle.min.js	(from https://www.wix.com/demone2/tech-company-volaso)
20:46:19	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/My%20Web%20Sites/volas/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://www.wix.com/demone2/tech-company-volaso)
20:46:20	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	C:/My%20Web%20Sites/volas/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://www.wix.com/demone2/tech-company-volaso)
20:46:20	65591/65591	---M-Z	200	added ('OK')	text/javascript	date:Sat,%2010%20Feb%202024%2015:16:20%20GMT	https://polyfill.io/v3/polyfill.min.js?features=fetch	C:/My%20Web%20Sites/volas/polyfill.io/v3/polyfill.mind82c.js	(from https://www.wix.com/demone2/tech-company-volaso)
20:46:21	2545/2545	---M-Z	200	added ('OK')	application/javascript	etag:W/%22bd7515f3ac62c63f7ce156822e652a80%22	https://static.parastorage.com/services/cookie-sync-service/1.28.0/embed-cidx.bundle.min.js	C:/My%20Web%20Sites/volas/static.parastorage.com/services/cookie-sync-service/1.28.0/embed-cidx.bundle.min.js	(from https://www.wix.com/demone2/tech-company-volaso)
20:46:23	1216799/1216799	---MCZ	200	added ('OK')	text/html	etag:W/%2287f1de8550a02b408c0b87e85fc3a24f%22	https://www.wix.com/demone2/tech-company-volaso/technology	C:/My%20Web%20Sites/volas/www.wix.com/demone2/tech-company-volaso/technology.html	(from https://www.wix.com/demone2/tech-company-volaso)
20:46:25	1428310/1428310	---MCZ	200	added ('OK')	text/html	etag:W/%22639f3e20638bf682e6217241d1e88f9f%22	https://www.wix.com/demone2/tech-company-volaso/about	C:/My%20Web%20Sites/volas/www.wix.com/demone2/tech-company-volaso/about.html	(from https://www.wix.com/demone2/tech-company-volaso)
20:46:26	1193399/1193399	---MCZ	200	added ('OK')	text/html	etag:W/%22135f41e9656105d6593119326e880edc%22	https://www.wix.com/demone2/tech-company-volaso/contact	C:/My%20Web%20Sites/volas/www.wix.com/demone2/tech-company-volaso/contact.html	(from https://www.wix.com/demone2/tech-company-volaso)
20:46:26	1609/1609	---M--	200	added ('OK')	image/jpeg	date:Sat,%2010%20Feb%202024%2015:16:26%20GMT	https://static.wixstatic.com/media/c837a6_518925604ea94963890d43b5f41aa5bff000.jpg/v1/fill/w_100,h_56,al_c,q_80,usm_0.66_1.00_0.01,blur_3,enc_auto/c837a6_518925604ea94963890d43b5f41aa5bff000.jpg	C:/My%20Web%20Sites/volas/static.wixstatic.com/media/c837a6_518925604ea94963890d43b5f41aa5bff000.jpg/v1/fill/w_100,h_56,al_c,q_80,usm_0.66_1.00_0.01,blur_3,enc_auto/c837a6_518925604ea94963890d43b5f41aa5bff000.jpg	(from https://www.wix.com/demone2/tech-company-volaso)
20:46:27	2201/2201	---M--	200	added ('OK')	image/jpeg	date:Sat,%2010%20Feb%202024%2015:16:26%20GMT	https://static.wixstatic.com/media/84770f_4768df327fc14639ab855ebaa4699255~mv2.jpg/v1/fill/w_147,h_104,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/Robot_Dark_Background.jpg	C:/My%20Web%20Sites/volas/static.wixstatic.com/media/84770f_4768df327fc14639ab855ebaa4699255_mv2.jpg/v1/fill/w_147,h_104,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/Robot_Dark_Background.jpg	(from https://www.wix.com/demone2/tech-company-volaso)
20:46:27	2606/2606	---M--	200	added ('OK')	image/jpeg	date:Sat,%2010%20Feb%202024%2015:16:27%20GMT	https://static.wixstatic.com/media/c837a6_f801794919b24f6c9702a36cdde944e7~mv2.jpg/v1/fill/w_147,h_147,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/Battery.jpg	C:/My%20Web%20Sites/volas/static.wixstatic.com/media/c837a6_f801794919b24f6c9702a36cdde944e7_mv2.jpg/v1/fill/w_147,h_147,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/Battery.jpg	(from https://www.wix.com/demone2/tech-company-volaso)
20:46:28	2460/2460	---M--	200	added ('OK')	image/jpeg	date:Sat,%2010%20Feb%202024%2015:16:27%20GMT	https://static.wixstatic.com/media/c837a6_aa7ca0ce5fc544f780c11d8b6964001b~mv2.jpg/v1/fill/w_147,h_147,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/Robot_Back_View.jpg	C:/My%20Web%20Sites/volas/static.wixstatic.com/media/c837a6_aa7ca0ce5fc544f780c11d8b6964001b_mv2.jpg/v1/fill/w_147,h_147,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/Robot_Back_View.jpg	(from https://www.wix.com/demone2/tech-company-volaso)
20:46:28	2578/2578	---M--	200	added ('OK')	image/jpeg	date:Sat,%2010%20Feb%202024%2015:16:28%20GMT	https://static.wixstatic.com/media/c837a6_3da3147ce6194772a7ab359d935309e3~mv2.jpg/v1/fill/w_147,h_147,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/Sensor.jpg	C:/My%20Web%20Sites/volas/static.wixstatic.com/media/c837a6_3da3147ce6194772a7ab359d935309e3_mv2.jpg/v1/fill/w_147,h_147,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/Sensor.jpg	(from https://www.wix.com/demone2/tech-company-volaso)
20:46:28	2758/2758	---M--	200	added ('OK')	image/jpeg	date:Sat,%2010%20Feb%202024%2015:16:28%20GMT	https://static.wixstatic.com/media/84770f_d8e3b8a927114130962994bc367c5ee8~mv2.jpg/v1/fill/w_151,h_90,al_c,q_80,usm_0.66_1.00_0.01,blur_3,enc_auto/84770f_d8e3b8a927114130962994bc367c5ee8~mv2.jpg	C:/My%20Web%20Sites/volas/static.wixstatic.com/media/84770f_d8e3b8a927114130962994bc367c5ee8_mv2.jpg/v1/fill/w_151,h_90,al_c,q_80,usm_0.66_1.00_0.01,blur_3,enc_auto/84770f_d8e3b8a927114130962994bc367c5ee8_mv2.jpg	(from https://www.wix.com/demone2/tech-company-volaso)
20:46:29	1078/1078	---M--	200	added ('OK')	image/jpeg	date:Sat,%2010%20Feb%202024%2015:16:28%20GMT	https://static.wixstatic.com/media/c837a6_cec501896c5b45589d6eda4ebb8cad5cf000.jpg/v1/fill/w_160,h_90,al_c,q_80,usm_0.66_1.00_0.01,blur_3,enc_auto/c837a6_cec501896c5b45589d6eda4ebb8cad5cf000.jpg	C:/My%20Web%20Sites/volas/static.wixstatic.com/media/c837a6_cec501896c5b45589d6eda4ebb8cad5cf000.jpg/v1/fill/w_160,h_90,al_c,q_80,usm_0.66_1.00_0.01,blur_3,enc_auto/c837a6_cec501896c5b45589d6eda4ebb8cad5cf000.jpg	(from https://www.wix.com/demone2/tech-company-volaso)
